,0,1,2,3,4,5,6,7,8,9
0,50.0,21.0,77.0,0.0,28.0,0.0,27.0,48.0,22.0,2.0
1,55.0,0.0,92.0,0.0,0.0,26.0,36.0,92.0,56.0,4.0
2,53.0,0.0,82.0,0.0,52.0,-5.0,29.0,30.0,2.0,1.0
3,37.0,0.0,76.0,0.0,28.0,18.0,40.0,48.0,8.0,1.0
4,37.0,0.0,79.0,0.0,34.0,-26.0,43.0,46.0,2.0,1.0
5,85.0,0.0,88.0,-4.0,6.0,1.0,3.0,83.0,80.0,5.0
6,56.0,0.0,81.0,0.0,-4.0,11.0,25.0,86.0,62.0,4.0
7,55.0,-1.0,95.0,-3.0,54.0,-4.0,40.0,41.0,2.0,1.0
8,53.0,8.0,77.0,0.0,28.0,0.0,23.0,48.0,24.0,4.0
9,37.0,0.0,101.0,-7.0,28.0,0.0,64.0,73.0,8.0,1.0
10,37.0,0.0,78.0,-2.0,12.0,0.0,42.0,65.0,24.0,1.0
11,45.0,0.0,84.0,0.0,46.0,20.0,38.0,37.0,0.0,1.0
12,38.0,2.0,77.0,0.0,38.0,7.0,39.0,38.0,0.0,1.0
13,37.0,0.0,78.0,0.0,-2.0,5.0,41.0,81.0,40.0,1.0
14,41.0,0.0,100.0,0.0,38.0,-8.0,59.0,61.0,2.0,1.0
15,41.0,0.0,89.0,1.0,38.0,-16.0,48.0,50.0,2.0,1.0
16,47.0,0.0,85.0,-2.0,46.0,-4.0,38.0,39.0,0.0,1.0
17,49.0,0.0,79.0,0.0,46.0,-5.0,30.0,32.0,2.0,1.0
18,49.0,3.0,82.0,0.0,50.0,4.0,33.0,33.0,0.0,1.0
19,37.0,-318.0,105.0,-2.0,36.0,-4.0,68.0,69.0,0.0,1.0
20,44.0,3.0,77.0,0.0,44.0,2.0,33.0,33.0,0.0,1.0
21,106.0,2.0,108.0,0.0,70.0,0.0,1.0,38.0,36.0,5.0
22,37.0,-5.0,76.0,0.0,28.0,0.0,40.0,48.0,8.0,1.0
23,49.0,0.0,100.0,0.0,50.0,19.0,52.0,51.0,0.0,1.0
